ID	MP Name	Nature of membership	Start of Term	End of Term	Number of terms	Constituency	State	Political party	Gender	Educational qualifications	Educational qualifications - details	Age	Debates	Private Member Bills	Questions	Attendance	Notes	National Debates average	National Private Member Bills average	National Questions average	National Attendance average	State's Debates average	State's Private Member Bills average	State Questions	State's Attendance average		House
863	Anil Shirole	Elected	Sunday, May 18, 2014	In office	First	Pune	Maharashtra	Bharatiya Janata Party	Male	Graduate	B.A.	68	18	0	208	93%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	68.6	4.8	607	78%		Lok Sabha
864	Anirudhan Sampath	Elected	Sunday, May 18, 2014	In office	Third	Attingal	Kerala	Communist Party of India (Marxist)	Male	Professional Post Graduate	M.A. (Eco) L.L.M (Constt. Law)	56	227	6	378	76%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	142.5	4.7	424	77%		Lok Sabha
865	Anju Bala	Elected	Sunday, May 18, 2014	In office	First	Misrikh	Uttar Pradesh	Bharatiya Janata Party	Female	Post Graduate	M.A. (Hindi and Sanskrit)	39	128	0	263	98%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
866	Anoop Mishra	Elected	Sunday, May 18, 2014	In office	First	Morena	Madhya Pradesh	Bharatiya Janata Party	Male	Inter/ Higher Secondary	Inter/ Higher Secondary	62	6	0	284	47%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	69.4	0.9	285	82%		Lok Sabha
867	Anshul Verma	Elected	Sunday, May 18, 2014	In office	First	Hardoi	Uttar Pradesh	Bharatiya Janata Party	Male	Post Graduate	M.A., L.L.B.	44	25	0	100	92%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
868	Anto Antony	Elected	Sunday, May 18, 2014	In office	Second	Pathanamthitta	Kerala	Indian National Congress	Male	Graduate	B.A.; Educated at St. Thomas College, Palai	61	80	1	658	78%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	142.5	4.7	424	77%		Lok Sabha
869	Anupam Hazra	Elected	Sunday, May 18, 2014	In office	First	Bolpur	West Bengal	All India Trinamool Congress	Male	Doctorate	Ph.D. (Social Work)	36	2	0	94	88%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	34.4	0.3	94	65%		Lok Sabha
870	Anupriya Singh Patel	Elected	Sunday, May 18, 2014	In office	First	Mirzapur	Uttar Pradesh	Apna Dal	Female	Professional Post Graduate	M.B.A.	37	49	0	71	90%	This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till May 11, 2016. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	35.4	1	137	80	51.8	0.7	82	86%		Lok Sabha
871	Anurag Singh Thakur	Elected	Sunday, May 18, 2014	In office	Third	Hamirpur	Himachal Pradesh	Bharatiya Janata Party	Male	Graduate	B.A.; Educated at Doaba College, Jalandhar, Punjab	44	79	8	454	89%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	40	2	186	90%		Lok Sabha
872	Aparupa Poddar (Afrin Ali)	Elected	Sunday, May 18, 2014	In office	First	Arambagh	West Bengal	All India Trinamool Congress	Female	Post Graduate	LLB, MA (English)	33	83	0	67	82%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	34.4	0.3	94	65%		Lok Sabha
873	Arjun Charan Sethi	Elected	Sunday, May 18, 2014	In office	Eighth	Bhadrak	Odisha	Biju Janata Dal	Male	Post Graduate	M.A.; Educated at K.C. Vidyamandir, Agarpada, Bhadrak College, University College , Vani Vihar, Bhubaneswar, Orissa	77	1	0	32	79%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	67.1	3.7	218	82%		Lok Sabha
874	Arjun Ram Meghwal	Elected	Sunday, May 18, 2014	In office	Second	Bikaner	Rajasthan	Bharatiya Janata Party	Male	Post Graduate	M.A. (Pol. Science); Educated at Sri Dungar College, Bikaner and University of Phillipine, Phillipines	65	92	16	336	98%	This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till May 11, 2016. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	35.4	1	137	80	88.9	2.5	210	88%		Lok Sabha
875	Arjunlal Meena	Elected	Sunday, May 18, 2014	In office	First	Udaipur	Rajasthan	Bharatiya Janata Party	Male	Post Graduate	M.Com., B.Ed.	54	82	0	358	86%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	138.2	3.8	390	88%		Lok Sabha
876	Arka Keshari Deo	Elected	Sunday, May 18, 2014	In office	First	Kalahandi	Odisha	Biju Janata Dal	Male	Graduate	B.A.	40	28	0	113	85%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	67.1	3.7	218	82%		Lok Sabha
877	Arpita Ghosh	Elected	Sunday, May 18, 2014	In office	First	Balurghat	West Bengal	All India Trinamool Congress	Female	Graduate	B.Sc.	52	21	0	26	62%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	34.4	0.3	94	65%		Lok Sabha
878	Arun Kumar	Elected	Sunday, May 18, 2014	In office	Second	Jahanabad	Bihar	Rashtriya Lok Samta Party	Male	Doctorate	M.A., Ph.D. Educated at Patna University, Patna and Magadh University, Bodhgaya (Bihar)	59	57	0	62	88%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	58.8	3.2	198	87%		Lok Sabha
879	Arvind Sawant	Elected	Sunday, May 18, 2014	In office	First	Mumbai-South	Maharashtra	Shiv Sena	Male	Graduate	B.Sc.	67	287	1	480	98%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	68.6	4.8	607	78%		Lok Sabha
880	Asaduddin Owaisi	Elected	Sunday, May 18, 2014	In office	Third	Hyderabad	Telangana	All India Majlis-e-Ittehadul Muslimeen	Male	Professional Graduate	LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College	49	64	2	737	82%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	39.2	2.4	302	68%		Lok Sabha
881	Ashok Gajapathi Raju Pusapati	Elected	Sunday, May 18, 2014	In office	First	Vizianagaram	Andhra Pradesh	Telugu Desam Party	Male	Matric	Matric	67	0	0	0	100%	This MP was a minister till Mar 2018. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	9.1	0.5	55	80	3.5	0	36	76%		Lok Sabha
882	Ashok Kumar Doharey	Elected	Sunday, May 18, 2014	In office	First	Etawah	Uttar Pradesh	Bharatiya Janata Party	Male	Graduate	B.A.	48	3	0	0	83%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
883	Ashok Mahadeorao Nete	Elected	Sunday, May 18, 2014	In office	First	Gadchiroli-Chimur	Maharashtra	Bharatiya Janata Party	Male	Graduate	B.A.	50	29	4	536	75%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	68.6	4.8	607	78%		Lok Sabha
884	Ashok Shankarrao Chavan	Elected	Sunday, May 18, 2014	In office	Second	Nanded	Maharashtra	Indian National Congress	Male	Professional Graduate	B.Sc., M.B.A.	60	9	0	906	42%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	68.6	4.8	607	78%		Lok Sabha
885	Ashwini Kumar	Elected	Sunday, May 18, 2014	In office	First	Karnal	Haryana	Bharatiya Janata Party	Male	Professional Graduate	B.Com, Degree in Journalism	62	7	0	380	52%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	60.6	3.1	262	85%		Lok Sabha
886	Ashwini Kumar Choubey	Elected	Sunday, May 18, 2014	In office	First	Buxar	Bihar	Bharatiya Janata Party	Male	Graduate	B.Sc.(Hons.) Zoology	66	181	2	151	93%	This MP was appointed a minister in Sep 2017. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 11th Aug, 2017. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	54.5	1.6	217	80	48.9	2.5	150	87%		Lok Sabha
887	Asrarul Haque Mohammad	Elected	Sunday, May 18, 2014	Friday, December 7, 2018	Second	Kishanganj	Bihar	Indian National Congress	Male	Post Graduate	Fazil (M.A.); Educated at Darul Uloom, Deoband, Uttar Pradesh	77	14	0	4	87%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	63.8	2.1	269	80	55.8	3	184	87%		Lok Sabha
888	Azmeera Seetaram Naik	Elected	Sunday, May 18, 2014	In office	First	Mahabubabad	Telangana	Telangana Rashtra Samithi	Male	Doctorate	Educated at Kakatiya University, Warangal	61	30	0	134	69%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	39.2	2.4	302	68%		Lok Sabha
889	B. S. Yeddyurappa	Elected	Sunday, May 18, 2014	Friday, May 18, 2018	First	Shimoga	Karnataka	Bharatiya Janata Party	Male	Under Graduate	PUC.	76	14	0	188	69%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	58.2	1.8	253	80	42.7	0.3	329	79%		Lok Sabha
890	B. Senguttuvan	Elected	Sunday, May 18, 2014	In office	First	Vellore	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Professional Post Graduate	M.A., M.L.	62	38	0	514	78%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0	453	78%		Lok Sabha
891	B. Sreeramulu	Elected	Sunday, May 18, 2014	Friday, May 18, 2018	First	Bellary	Karnataka	Bharatiya Janata Party	Male	Graduate	B.A.	47	20	0	576	52%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	58.2	1.8	253	80	42.7	0.3	329	79%		Lok Sabha
892	B.N. Chandrappa	Elected	Sunday, May 18, 2014	In office	First	Chitradurga	Karnataka	Indian National Congress	Male	Post Graduate	M.A	63	57	0	336	87%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	48.2	0.4	373	79%		Lok Sabha
893	B.V. Nayak	Elected	Sunday, May 18, 2014	In office	First	Raichur	Karnataka	Indian National Congress	Male	Professional Graduate	B.Com., L.L.B.	52	11	0	689	60%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	48.2	0.4	373	79%		Lok Sabha
822415	B.Y. Raghavendra	Elected	Thursday, December 13, 2018	In office	First	Shimoga	Karnataka	Bharatiya Janata Party	Male	Information not available	Information not available	45	0	0	12	56%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	3.2	0.2	22	80	2.8	0	25	79%		Lok Sabha
894	Babul Supriya Baral (Babul Supriyo)	Elected	Sunday, May 18, 2014	In office	First	Asansol	West Bengal	Bharatiya Janata Party	Male	Graduate	B.Com (Hons.)	48	0	0	0	45%	This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till Aug 2014. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	5.2	0.1	18	80	3.3	0	8	65%		Lok Sabha
895	Babulal Chaudhary	Elected	Sunday, May 18, 2014	In office	First	Fatehpur Sikri	Uttar Pradesh	Bharatiya Janata Party	Male	Inter/ Higher Secondary	Intermediate	70	13	0	25	95%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
896	Badaruddoza Khan	Elected	Sunday, May 18, 2014	In office	First	Murshidabad	West Bengal	Communist Party of India (Marxist)	Male	Professional Graduate	B.Sc., B.Ed.	64	179	0	359	89%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	34.4	0.3	94	65%		Lok Sabha
897	Badruddin Ajmal	Elected	Sunday, May 18, 2014	In office	Second	Dhubri	Assam	All India United Democratic Front	Male	Post Graduate	Fazil-e-Deoband (Masters in Islamic Theology and Arabic); Educated at Darul Uloom, Deoband, Uttar Pradesh	69	66	0	403	58%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0.8	164	74%		Lok Sabha
898	Bahadur Singh Koli	Elected	Sunday, May 18, 2014	In office	Second	Bharatpur	Rajasthan	Bharatiya Janata Party	Male	Matric	Information not available	57	16	0	105	95%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	138.2	3.8	390	88%		Lok Sabha
899	Baijayant Jay Panda	Elected	Sunday, May 18, 2014	Wednesday, July 18, 2018	Second	Kendrapara	Odisha	Biju Janata Dal	Male	Graduate	Dual Degree Course in Engineering and Management in Communications; Educated at Michigan Technological University, U.S.A.	55	18	21	458	82%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	58.5	1.8	254	80	52.4	2.8	194	82%		Lok Sabha
900	Balabhadra Majhi	Elected	Sunday, May 18, 2014	In office	First	Nabarangpur	Odisha	Biju Janata Dal	Male	Professional Graduate	B.Sc. (Engineering)	58	77	0	206	81%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	67.1	3.7	218	82%		Lok Sabha
901	Balka Suman	Elected	Sunday, May 18, 2014	Tuesday, December 18, 2018	First	Peddapalle	Telangana	Telangana Rashtra Samithi	Male	Doctorate	M.A., Ph.D.	35	9	2	273	52%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	64	2.1	275	80	36.8	2.1	288	68%		Lok Sabha
902	Bandaru Dattatreya	Elected	Sunday, May 18, 2014	In office	Fourth	Secunderabad	Telangana	Bharatiya Janata Party	Male	Graduate	B.Sc.Educated at Osmania University, Hyderabad (Andhra Pradesh)	71	3	0	12	80%	This MP was a minister from Nov 2014 to Sep 2017. Ministers represent the government, so we do not report their participation. Participation and attendance details are thus not available for the above period. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	17.7	0.8	95	80	11.5	1.2	93	68%		Lok Sabha
903	Banshilal Mahto	Elected	Sunday, May 18, 2014	In office	First	Korba	Chhattisgarh	Bharatiya Janata Party	Male	Professional Graduate	B.A.M.S.	78	37	0	444	83%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	27.1	0.1	226	83%		Lok Sabha
625823	Begum Tabassum Hasan	Elected	Thursday, May 31, 2018	In office	Second	Kairana	Uttar Pradesh	Rashtriya Lok Dal	Female	Matric	Educated at J.B.S. Kanya Inter College, Saharanpur, UP	48	3	0	14	84%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	8.9	0.5	40	80	15.3	0.5	30	86%		Lok Sabha
904	Bhagat Singh Koshyari	Elected	Sunday, May 18, 2014	In office	First	Nainital-Udhamsingh Nagar	Uttarakhand	Bharatiya Janata Party	Male	Post Graduate	M.A. (English) Educated at Almora College, Almora (Agra University)	76	11	0	10	89%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	43.6	6.3	135	90%		Lok Sabha
905	Bhagirath Prasad	Elected	Sunday, May 18, 2014	In office	First	Bhind	Madhya Pradesh	Bharatiya Janata Party	Male	Doctorate	M.A.,M.Phil.,Ph.D.,(JNU)	71	28	0	76	84%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	69.4	0.9	285	82%		Lok Sabha
906	Bhagwant Mann	Elected	Sunday, May 18, 2014	In office	First	Sangrur	Punjab	Aam Aadmi Party	Male	Under Graduate	B.Com II Year	45	107	0	56	56%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	48.6	1.2	135	68%		Lok Sabha
907	Bhagwanth Khuba	Elected	Sunday, May 18, 2014	In office	First	Bidar	Karnataka	Bharatiya Janata Party	Male	Professional Graduate	BE (Mech.)	51	15	0	328	80%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	48.2	0.4	373	79%		Lok Sabha
908	Bhairon Prasad Mishra	Elected	Sunday, May 18, 2014	In office	First	Banda	Uttar Pradesh	Bharatiya Janata Party	Male	Inter/ Higher Secondary	Intermediate	60	2095	21	545	100%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
909	Bhanu Pratap Singh Verma	Elected	Sunday, May 18, 2014	In office	Fourth	Jalaun	Uttar Pradesh	Bharatiya Janata Party	Male	Post Graduate	M.A., L.L.B. Edcated at Bundelkhand University, Jhansi (Uttar Pradesh)	61	115	1	116	96%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
910	Bharat Singh	Elected	Sunday, May 18, 2014	In office	First	Ballia	Uttar Pradesh	Bharatiya Janata Party	Male	Graduate	B.A.	70	51	0	439	94%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
911	Bharatendra Singh	Elected	Sunday, May 18, 2014	In office	First	Bijnor	Uttar Pradesh	Bharatiya Janata Party	Male	Post Graduate	Post-Graduate	55	20	0	308	90%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
912	Bharatiben Dhirubhai Shiyal	Elected	Sunday, May 18, 2014	In office	First	Bhavnagar	Gujarat	Bharatiya Janata Party	Female	Professional Graduate	B.A.M.S.	54	33	0	180	94%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	41.1	2.6	285	84%		Lok Sabha
913	Bhartruhari Mahtab	Elected	Sunday, May 18, 2014	In office	Fifth	Cuttack	Odisha	Biju Janata Dal	Male	Post Graduate	M.A. (English); Educated at Utkal University, (Orissa)	61	256	21	609	93%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	67.1	3.7	218	82%		Lok Sabha
914	Bhavana Pundlikrao Gawali Patil	Elected	Sunday, May 18, 2014	In office	Fourth	Yavatmal-Washim	Maharashtra	Shiv Sena	Female	Graduate	B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra)	45	32	0	342	73%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	68.6	4.8	607	78%		Lok Sabha
915	Bheemrao B. Patil	Elected	Sunday, May 18, 2014	In office	First	Zahirabad	Telangana	Telangana Rashtra Samithi	Male	Graduate	B.Sc. (Agriculture)	63	44	0	437	78%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	39.2	2.4	302	68%		Lok Sabha
916	Bhola Singh	Elected	Sunday, May 18, 2014	In office	First	Bulandshahr	Uttar Pradesh	Bharatiya Janata Party	Male	Graduate	Graduate	41	21	9	191	98%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
