ID	MP Name	Nature of membership	Start of Term	End of Term	Number of terms	Constituency	State	Political party	Gender	Educational qualifications	Educational qualifications - details	Age	Debates	Private Member Bills	Questions	Attendance	Notes	National Debates average	National Private Member Bills average	National Questions average	National Attendance average	State's Debates average	State's Private Member Bills average	State Questions	State's Attendance average		House
1422	Arjun Munda	Elected	Monday, May 18, 2009	In office		Jamshedpur	Jharkhand	Bharatiya Janata Party	Male	Graduate	Graduate, Diploma in Social Science; Educated at IGNOU	45	3	0	152	43%	Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	13.1	0.3	108	76%	9.7	0.2	103	66%		Lok Sabha
1423	Arjun Ram Meghwal	Elected	Monday, May 18, 2009	In office		Bikaner	Rajasthan	Bharatiya Janata Party	Male	Post Graduate	M.A. (Pol. Science); Educated at Sri Dungar College, Bikaner and University of Phillipine, Phillipines	60	430	20	749	99%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	51.5	1	304	88%		Lok Sabha
1424	Arjun Roy	Elected	Monday, May 18, 2009	In office		Sitamarhi	Bihar	Janata Dal (United)	Male	Doctorate	Ph.D; Educated at University of Bihar, Bihar	42	28	0	349	92%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	45.1	0.7	331	87%		Lok Sabha
1425	Arun Subhashchandra Yadav	Elected	Monday, May 18, 2009	In office		Khandwa	Madhya Pradesh	Indian National Congress	Male	Graduate	B.Com.; Schooling at Daly College, Indore, Madhya Pradesh, S.S. Subdh Jain Commerce College, Jaipur, Rajasthan	40	4	0	25	58%	This MP was a Minister. He tendered his resignation on 12th Jul, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th Jul, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	22	0.4	182	76%	30	0.4	148	82%		Lok Sabha
1426	Aruna Kumar Vundavalli	Elected	Monday, May 18, 2009	In office		Rajahmundry	Andhra Pradesh	Indian National Congress	Male	Graduate	B.Com, B.L.; Educated at Govt. College Rajamundry and C.R. Reddy Law College, Eluru	59	19	0	33	92%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	20.3	0.4	339	68%		Lok Sabha
1427	Arvind Kumar Chaudhary	Elected	Monday, May 18, 2009	In office		Basti	Uttar Pradesh	Bahujan Samaj Party	Male	Inter/ Higher Secondary		49	4	0	190	96%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1428	Arvind Kumar Sharma	Elected	Monday, May 18, 2009	In office		Karnal	Haryana	Indian National Congress	Male	Post Graduate	B.D.S., M.D.S.; Eduated at Gujarat University, Ahmedabad, M.D. University, Rohtak	50	17	0	93	68%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	13.1	0.1	231	69%		Lok Sabha
1429	Asaduddin Owaisi	Elected	Monday, May 18, 2009	In office		Hyderabad	Andhra Pradesh	All India Majlis-e-Ittehadul Muslimeen	Male	Graduate	LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College	44	40	1	1129	69%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	20.3	0.4	339	68%		Lok Sabha
1430	Ashok Argal	Elected	Monday, May 18, 2009	In office		Bhind	Madhya Pradesh	Bharatiya Janata Party	Male	Inter/ Higher Secondary	Educated at Morena Board of Secondary Education, Madhya Pradesh	45	89	0	180	92%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	46.6	0.4	233	82%		Lok Sabha
1431	Ashok Kumar Rawat	Elected	Monday, May 18, 2009	In office		Misrikh	Uttar Pradesh	Bahujan Samaj Party	Male	Post Graduate	M.A.; Educated at Lucknow University, Lucknow, Uttar Pradesh	38	42	0	819	86%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1432	Ashok Tanwar	Elected	Monday, May 18, 2009	In office		Sirsa	Haryana	Indian National Congress	Male	Post Graduate	M.A., M.Phil (History); Educated at Jawahar Lal Nehru University, New Delhi	38	4	0	223	79%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	13.1	0.1	231	69%		Lok Sabha
1433	Ashwamedh Devi	Elected	Monday, May 18, 2009	In office		Ujiarpur	Bihar	Janata Dal (United)	Female	Under Matric	Educated at Govt. Middle School, Bajitpur Meyari, Sarai Ranjan, Samastipur, Bihar	46	9	0	145	89%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	45.1	0.7	331	87%		Lok Sabha
1434	Asrarul Haque Mohammad	Elected	Monday, May 18, 2009	In office		Kishanganj	Bihar	Indian National Congress	Male	Post Graduate	Fazil (M.A.); Educated at Darul Uloom, Deoband, Uttar Pradesh	72	18	0	56	94%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	45.1	0.7	331	87%		Lok Sabha
1435	Avtar Singh Bhadana	Elected	Monday, May 18, 2009	In office		Faridabad	Haryana	Indian National Congress	Male	Under Matric		56	14	0	231	46%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	13.1	0.1	231	69%		Lok Sabha
1436	Awale Jaywant Gangaram	Elected	Monday, May 18, 2009	In office		Latur	Maharashtra	Indian National Congress	Male	Inter/ Higher Secondary		73	51	0	350	91%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	28.8	1.7	500	74%		Lok Sabha
1437	Babu Lal Marandi	Elected	Monday, May 18, 2009	In office		Kodarma	Jharkhand	Jharkhand Vikas Morcha (Prajatantrik)	Male	Graduate	Educated at Ranchi University, Ranchi, Jharkhand	56	2	0	0	29%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	38.8	0.8	251	66%		Lok Sabha
1438	Badri Ram Jakhar	Elected	Monday, May 18, 2009	In office		Pali	Rajasthan	Indian National Congress	Male	Under Matric		61	24	0	513	88%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	51.5	1	304	88%		Lok Sabha
1439	Badruddin Ajmal	Elected	Monday, May 18, 2009	In office		Dhubri	Assam	Assam United Democratic Front	Male	Post Graduate	Fazil-e-Deoband (Masters in Islamic Theology and Arabic); Educated at Darul Uloom, Deoband, Uttar Pradesh	64	30	0	320	49%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	22.1	0.5	83	80%		Lok Sabha
1440	Baidyanath Prasad Mahto	Elected	Monday, May 18, 2009	In office		Valmiki Nagar	Bihar	Janata Dal (United)	Male	Matric	Educated at H.S. Bathanaha, West Champaran (Bihar)	66	28	0	301	92%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	45.1	0.7	331	87%		Lok Sabha
1441	Baijayant Jay Panda	Elected	Monday, May 18, 2009	In office		Kendrapara	Orissa	Biju Janata Dal	Male	Graduate	Dual Degree Course in Engineering and Management in Communications; Educated at Michigan Technological University, U.S.A.	50	18	12	878	66%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	35	0.9	382	74%		Lok Sabha
1442	Baju Ban Riyan	Elected	Monday, May 18, 2009	In office		Tripura East	Tripura	Communist Party of India (Marxist)	Male	Graduate	B.Sc.; Educated at Maharaja Bira Bikram College, Agartala, Tripura	72	6	0	0	85%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	21.5	0.5	155	80%		Lok Sabha
1443	Bal Kumar Patel	Elected	Monday, May 18, 2009	In office		Mirzapur	Uttar Pradesh	Samajwadi Party	Male	Inter/ Higher Secondary	Educated at Bhauri Intermediate College, Distt. Chitrakoot, Uttar Pradesh	50	11	0	280	80%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1444	Baliram	Elected	Monday, May 18, 2009	In office		Lalganj	Uttar Pradesh	Bahujan Samaj Party	Male	Doctorate	M.A., M.Ed., Ph.D.; Educated at Banaras Hindu University (BHU), Varanasi, Uttar Pradesh	59	51	0	351	94%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1445	Baliram Kashyap	Elected	Monday, May 18, 2009	Saturday, September 3, 2011		Bastar	Chhattisgarh	Bharatiya Janata Party	Male	Under Matric		77	0	0	0	1%	Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	14.4	0.3	114	76%	5.3	0	53	60%		Lok Sabha
1446	Balkrishna Khanderao Shukla	Elected	Monday, May 18, 2009	In office		Vadodara	Gujarat	Bharatiya Janata Party	Male	Post Graduate	B.Sc., MBA (HRM); Educated at M.S. University of Baroda, Vadodara (Gujarat)	50	27	1	254	65%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	41	1.4	382	76%		Lok Sabha
1447	Bansagopal Chowdhury	Elected	Monday, May 18, 2009	In office		Asansol	West Bengal	Communist Party of India (Marxist)	Male	Graduate	Educated at T.D.B. College, Raniganj, West Bengal	54	24	0	43	61%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.5	0.8	175	72%		Lok Sabha
1448	Bapiraju Kanumuri	Elected	Monday, May 18, 2009	In office		Narsapuram	Andhra Pradesh	Indian National Congress	Male	Inter/ Higher Secondary	Educated at Hyderabad Public School	66	11	0	0	87%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	20.3	0.4	339	68%		Lok Sabha
1449	Basori Singh Masram	Elected	Monday, May 18, 2009	In office		Mandla	Madhya Pradesh	Indian National Congress	Male	Under Matric	Educated at Higher Secondary School, Bichhiya and Middle School, Tatri, Distt. Mandla, Madhya Pradesh	68	1	0	10	84%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	46.6	0.4	233	82%		Lok Sabha
1450	Basudeb Acharia	Elected	Monday, May 18, 2009	In office		Bankura	West Bengal	Communist Party of India (Marxist)	Male	Post Graduate	M.A., B.T.; Educated at Ranchi University, Ranchi, Bihar and Calcutta University, Calcutta, West Bengal	71	143	7	218	88%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.5	0.8	175	72%		Lok Sabha
1451	Beni Prasad Verma	Elected	Monday, May 18, 2009	In office		Gonda	Uttar Pradesh	Indian National Congress	Male	Graduate	B.A., LL.B.; Educated at Lucknow University, Lucknow, Uttar Pradesh	73	2	0	0	99%	This MP was appointed a minister in Jan, 2011. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 13th Dec, 2010. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	12.5	0.3	103	76%	15.5	0.2	79	79%		Lok Sabha
1452	Bhajan Lal	Elected	Monday, May 18, 2009	Sunday, March 6, 2011		Hisar	Haryana	Haryana Janhit Congress	Male	Inter/ Higher Secondary	Educated at Government College, Bahawal Nagar (Now in Pakistan)	83	0	0	0	39%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	15.9	0.4	119	76%	3.9	0	63	69%		Lok Sabha
1453	Bhakta Charan Das	Elected	Monday, May 18, 2009	In office		Kalahandi	Orissa	Indian National Congress	Male	Graduate	B.A., LL.B.; Educated at Government College, Bhawanipatna, Kalahandi, Orissa and L. R. Law College, Sambalpur (Orissa)	55	51	1	252	90%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	35	0.9	382	74%		Lok Sabha
1454	Bharat Ram Meghwal	Elected	Monday, May 18, 2009	In office		Ganganagar	Rajasthan	Indian National Congress	Male	Graduate	B.A., B.Ed.; Educated at Rajasthan University, Jaipur and Kota	58	18	0	200	90%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	51.5	1	304	88%		Lok Sabha
1455	Bharatsinh Madhavsinh Solanki	Elected	Monday, May 18, 2009	In office		Anand	Gujarat	Indian National Congress	Male	Graduate	B.E. (Civil); Educated at Birla Vishwakarma Mahavidyalay	60	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		Lok Sabha
1456	Bhartruhari Mahtab	Elected	Monday, May 18, 2009	In office		Cuttack	Orissa	Biju Janata Dal	Male	Post Graduate	M.A. (English); Educated at Utkal University, (Orissa)	56	234	1	395	94%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	35	0.9	382	74%		Lok Sabha
1457	Bhavana Pundlikrao Gawali Patil	Elected	Monday, May 18, 2009	In office		Yavatmal-Washim	Maharashtra	Shiv Sena	Female	Graduate	B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra)	40	19	0	360	67%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	28.8	1.7	500	74%		Lok Sabha
1458	Bhismashankar, Alias Kushal Tiwari	Elected	Monday, May 18, 2009	In office		Sant Kabir Nagar	Uttar Pradesh	Bahujan Samaj Party	Male	Inter/ Higher Secondary		53	45	0	537	79%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1459	Bhola Singh	Elected	Monday, May 18, 2009	In office		Nawada	Bihar	Bharatiya Janata Party	Male	Doctorate	M.A., Ph.D.; Educated at Patna University and Lalit Narayan Mithila University, Darbhanga, Bihar	79	104	10	398	92%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	45.1	0.7	331	87%		Lok Sabha
1460	Bhoopendra Singh	Elected	Monday, May 18, 2009	In office		Sagar	Madhya Pradesh	Bharatiya Janata Party	Male	Graduate	L.L.B.; Educated at Sagar University (Madhya Pradesh)	53	27	4	625	70%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	36.7	0.8	288	76%	45	0.4	227	82%		Lok Sabha
1461	Bhudeo Choudhary	Elected	Monday, May 18, 2009	In office		Jamui	Bihar	Janata Dal (United)	Male	Graduate	B.A., LL.B.; Educated at T.N.V. Law College, Bhagalpur	54	35	0	448	86%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	45.1	0.7	331	87%		Lok Sabha
1462	Bibhu Prasad Tarai	Elected	Monday, May 18, 2009	In office		Jagatsinghpur	Orissa	Communist Party of India	Male	Post Graduate	M.A., LL.B.; Madhusudan Law College, Cuttack and Utkal University, Bhubaneshwar, Orissa	49	26	0	224	82%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	35	0.9	382	74%		Lok Sabha
